alpha,max_depth,min_samples_leaf,criterion,ccp_alpha,bal_mean,bal_std,f1_mean,f1_std,fit_seconds,predict_seconds
0.75,,1,entropy,0.0,0.5345536209107602,0.015796417495618147,0.5285780604466246,0.015704443264056164,1.6969829703999495,0.019947244999912073
0.625,,5,gini,1e-06,0.5859417637519532,0.01986446860455764,0.5279824463746878,0.012554283904611888,0.9278391354001542,0.01741810200001055
0.625,,5,gini,0.0,0.5858888280179579,0.019833856159191175,0.5279482899343027,0.0125004644996305,0.96331150420001,0.019929554399914194
0.75,,2,gini,1e-05,0.5482012833749688,0.009608505309066796,0.527625788419867,0.011422932516623404,1.0218096823999985,0.019547487200088653
0.75,,2,gini,1e-06,0.5477672294665545,0.00932979829412644,0.5268186029384738,0.01141652939296971,0.9464583533999757,0.01649811019997287
0.75,,2,gini,0.0,0.5478281554472096,0.009266345697635299,0.5268167737068167,0.011335820925321581,1.0520955089999007,0.02021539480001593
0.625,,1,entropy,1e-05,0.5302262683875625,0.015904408540816997,0.5243177514424041,0.010589126585478312,1.6559556032000728,0.018815887800064955
0.625,,1,entropy,1e-06,0.5296086979814139,0.015564943477268223,0.5235661669060152,0.010295058814122503,1.7169946340000024,0.0186106466000183
0.625,,2,gini,1e-05,0.54655373404786,0.010015448557173193,0.523487433304519,0.012021068376980987,1.097938291599894,0.019721178399686325
0.625,,1,entropy,0.0,0.5294913334528581,0.015651674047321304,0.5234745823812051,0.010392972346408933,1.6799732102000235,0.019206370600022636
0.75,10.0,2,entropy,1e-05,0.649840337138927,0.02328133817545986,0.523338808586338,0.013322826456368812,1.1105491869999242,0.016875060600068537
0.75,10.0,2,entropy,0.0,0.649800388148528,0.023354209921991418,0.5233196616699503,0.013370095333620276,1.1599290694000046,0.019133837999925164
0.75,10.0,2,entropy,1e-06,0.649800388148528,0.023354209921991418,0.5233196616699503,0.013370095333620276,1.090456914799961,0.01699616320020141
0.875,10.0,1,gini,1e-05,0.6529687071463698,0.022161913331699187,0.523261676114149,0.005634117650098499,0.7062020650001614,0.018518691400004172
0.875,10.0,1,gini,1e-06,0.6528197047892197,0.02218555646121616,0.523159418835178,0.0056021893541337514,0.6932754890000978,0.017799783800001023
0.875,10.0,1,gini,0.0,0.6528197047892197,0.02218555646121616,0.523159418835178,0.0056021893541337514,0.650875007400009,0.01876424860001862
0.875,10.0,2,gini,1e-05,0.653669126148858,0.022428845870999994,0.5230405445828681,0.005364014548894499,0.6697488477999286,0.01751153559998784
0.875,10.0,2,gini,1e-06,0.6535982468548894,0.022408464169071676,0.5230057366177701,0.00537616139401748,0.6455003854000096,0.01723853380017317
0.875,10.0,2,gini,0.0,0.6535982468548894,0.022408464169071676,0.5230057366177701,0.00537616139401748,0.6354790150001464,0.016504856000028666
0.75,10.0,5,entropy,1e-05,0.6526010702483729,0.024111973341044417,0.5227353473364538,0.013808644351798058,1.0446037299998352,0.015306504399904951
0.75,10.0,5,entropy,1e-06,0.6525741160704754,0.024147308765645133,0.5226999551946075,0.013861328289267906,1.1602868267999837,0.017869696600155294
0.75,10.0,5,entropy,0.0,0.6525741160704754,0.024147308765645133,0.5226999551946075,0.013861328289267906,1.1990173058000437,0.01666112879993307
0.625,,2,gini,1e-06,0.5452760295522625,0.010393769032961901,0.5221191702720898,0.012289891907504513,0.9736650987999838,0.016822092200072802
0.75,10.0,1,entropy,1e-06,0.6429537987083631,0.025785239793389546,0.5220590563666097,0.012711876647247614,1.1286516429998301,0.018361283800004458
0.75,10.0,1,entropy,0.0,0.6429537987083631,0.025785239793389546,0.5220590563666097,0.012711876647247614,1.1208972847999576,0.016532004400050936
